model,slice_dimension,slice_value,observations,mae,median_absolute_error,p90_absolute_error,rmse,r2,mape_pct,mean_error
hedonic_ridge,town,WOODLANDS,1835,33920.886642,27237.967957,70785.167609,44234.803245,0.911651,5.699056,-2489.031326
hedonic_ridge,town,YISHUN,1585,49012.527737,41324.048858,102450.349574,61410.003378,0.783735,8.614896,15527.848843
prior_12m_town_flat_type_median_baseline,flat_type,1 ROOM,9,10222.222222,7000.000000,21822.400000,13467.232199,-0.138123,4.031094,4691.555556
prior_12m_town_flat_type_median_baseline,flat_type,2 ROOM,750,26761.568000,18000.000000,50100.000000,46059.496060,0.117811,6.786482,-12786.666667
prior_12m_town_flat_type_median_baseline,flat_type,3 ROOM,5790,71350.002591,40000.000000,182000.000000,118792.674338,-0.021819,13.396614,-32446.332815
prior_12m_town_flat_type_median_baseline,flat_type,4 ROOM,10817,86985.456984,58000.000000,200000.000000,127666.560514,0.450933,12.589907,-10776.218378
prior_12m_town_flat_type_median_baseline,flat_type,5 ROOM,5752,93106.632361,65000.000000,202000.000000,135483.696591,0.484698,11.023674,-25370.841172
prior_12m_town_flat_type_median_baseline,flat_type,EXECUTIVE,1470,70603.025102,53500.000000,150000.000000,95589.953185,0.550324,7.302657,-24903.366735
prior_12m_town_flat_type_median_baseline,flat_type,MULTI-GENERATION,4,76750.000000,68000.000000,149000.000000,100245.947549,-7.995133,6.619250,-76750.000000
prior_12m_town_flat_type_median_baseline,price_band,$1m and above,1812,204289.986512,171500.000000,423000.000000,248269.683971,-2.283684,17.346720,-193171.774592
prior_12m_town_flat_type_median_baseline,price_band,$300k-$399k,1977,46504.063227,43000.000000,86200.000000,57446.778427,-3.882599,13.279325,41961.795144
prior_12m_town_flat_type_median_baseline,price_band,$400k-$499k,3389,45040.879020,27556.000000,96360.000000,76823.770373,-5.624775,9.893164,18490.571555
prior_12m_town_flat_type_median_baseline,price_band,$500k-$699k,10284,61985.948011,42000.000000,125000.000000,92567.938879,-1.760435,10.470570,15844.544277
prior_12m_town_flat_type_median_baseline,price_band,$700k-$999k,7027,107661.291382,78888.000000,239112.000000,146996.850404,-2.077948,13.142840,-65518.851074
prior_12m_town_flat_type_median_baseline,price_band,Below $300k,103,49410.330097,28000.000000,136400.000000,68457.210195,-31.299903,17.472041,48868.815534
prior_12m_town_flat_type_median_baseline,remaining_lease_band,50-59 years,5460,67095.140110,42000.000000,150000.000000,104271.972581,0.578712,11.984199,37851.644139
prior_12m_town_flat_type_median_baseline,remaining_lease_band,60-69 years,4207,55859.580699,40000.000000,120000.000000,79130.424082,0.848658,7.836999,618.926076
prior_12m_town_flat_type_median_baseline,remaining_lease_band,70-79 years,4852,66594.450742,50000.000000,139090.800000,94921.856834,0.641888,9.459437,6274.393133
prior_12m_town_flat_type_median_baseline,remaining_lease_band,80-89 years,3796,98534.522129,62000.000000,238112.000000,142657.017013,0.603794,12.106840,-84958.949884
prior_12m_town_flat_type_median_baseline,remaining_lease_band,90 years and above,4617,120364.073736,80000.000000,314400.000000,170867.918265,0.379433,14.648602,-114665.222534
prior_12m_town_flat_type_median_baseline,remaining_lease_band,Below 50 years,1660,96162.171687,60000.000000,259499.600000,149665.804532,0.153118,21.178181,69499.956024
prior_12m_town_flat_type_median_baseline,town,ANG MO KIO,886,114388.872325,47000.000000,374000.000000,181898.045197,0.515081,14.339966,-73121.617246
prior_12m_town_flat_type_median_baseline,town,BEDOK,1252,99520.287540,55000.000000,257911.200000,150136.613697,0.517543,14.068160,-49576.210863
prior_12m_town_flat_type_median_baseline,town,BISHAN,394,98042.895939,70000.000000,190000.000000,144377.594618,0.695817,11.595534,-12116.002538
prior_12m_town_flat_type_median_baseline,town,BUKIT BATOK,1385,61949.950181,50000.000000,137000.000000,81075.409542,0.778106,10.157959,-9944.608664
prior_12m_town_flat_type_median_baseline,town,BUKIT MERAH,899,148109.112347,110000.000000,340022.400000,194241.884931,0.594179,20.223686,-17872.355951
prior_12m_town_flat_type_median_baseline,town,BUKIT PANJANG,782,66699.902813,52250.000000,135000.000000,87688.214860,0.619607,10.257803,-14541.145780
prior_12m_town_flat_type_median_baseline,town,BUKIT TIMAH,56,87160.785714,69722.000000,188166.000000,108080.564333,0.856638,9.715204,26993.642857
prior_12m_town_flat_type_median_baseline,town,CENTRAL AREA,177,206045.536723,90000.000000,623667.200000,311999.085959,0.363437,27.073725,138221.355932
prior_12m_town_flat_type_median_baseline,town,CHOA CHU KANG,1005,45608.807861,40000.000000,96955.200000,56589.019987,0.740129,7.655386,-6942.905572
prior_12m_town_flat_type_median_baseline,town,CLEMENTI,519,162635.020732,109912.000000,375000.000000,222004.213424,0.516666,21.216621,-40378.191753
prior_12m_town_flat_type_median_baseline,town,GEYLANG,680,137054.858471,96556.000000,305312.000000,181776.401916,0.526315,21.289953,-26987.987882
prior_12m_town_flat_type_median_baseline,town,HOUGANG,1244,67441.134244,50000.000000,149760.000000,91627.815817,0.728890,10.080146,-15172.793408
prior_12m_town_flat_type_median_baseline,town,JURONG EAST,464,56188.693966,40444.000000,132256.000000,76103.067814,0.804535,9.573326,-14898.254310
prior_12m_town_flat_type_median_baseline,town,JURONG WEST,1474,51512.933514,40000.000000,108000.000000,68417.681462,0.718177,9.336065,-13149.055631
prior_12m_town_flat_type_median_baseline,town,KALLANG/WHAMPOA,728,148271.212912,102500.000000,340000.000000,196836.702601,0.532399,20.229972,-37211.737637
prior_12m_town_flat_type_median_baseline,town,MARINE PARADE,139,59776.338129,42000.000000,132422.400000,82921.968008,0.867457,8.613283,-20550.438849
prior_12m_town_flat_type_median_baseline,town,PASIR RIS,749,52474.794393,33000.000000,138000.000000,77914.985262,0.678760,6.875591,-29214.329773
prior_12m_town_flat_type_median_baseline,town,PUNGGOL,1640,64772.139841,50000.000000,130000.000000,87539.069308,0.566202,9.047318,-23084.818695
prior_12m_town_flat_type_median_baseline,town,QUEENSTOWN,726,159143.823691,111500.000000,373750.000000,207167.669097,0.603236,21.154755,-79623.399449
prior_12m_town_flat_type_median_baseline,town,SEMBAWANG,884,58805.821267,46556.000000,125000.000000,75469.317966,0.607279,9.470854,1256.255656
prior_12m_town_flat_type_median_baseline,town,SENGKANG,1731,62640.086655,45000.000000,138888.000000,87265.593081,0.501034,8.846642,-14567.869440
prior_12m_town_flat_type_median_baseline,town,SERANGOON,372,72800.763441,50000.000000,180000.000000,99119.027123,0.770841,9.949556,-30830.994624
prior_12m_town_flat_type_median_baseline,town,TAMPINES,1983,68670.279375,55000.000000,149049.600000,87584.877131,0.702648,9.345937,-23252.626324
prior_12m_town_flat_type_median_baseline,town,TOA PAYOH,1003,155943.185244,101100.000000,402000.000000,212186.249320,0.588750,21.822859,-19337.085543
prior_12m_town_flat_type_median_baseline,town,WOODLANDS,1835,52666.065940,40000.000000,113000.000000,70507.524487,0.775536,8.920679,-7698.983651
prior_12m_town_flat_type_median_baseline,town,YISHUN,1585,46324.745741,38000.000000,95000.000000,60968.483521,0.786833,8.314704,2646.479495
town_flat_type_median_baseline,flat_type,1 ROOM,9,58308.444444,63888.000000,70800.000000,59659.285473,-21.335137,21.958873,-58308.444444
town_flat_type_median_baseline,flat_type,2 ROOM,750,64919.168000,58000.000000,108460.400000,79846.063873,-1.651126,16.763102,-63964.938667
town_flat_type_median_baseline,flat_type,3 ROOM,5790,123144.613990,94996.000000,263000.000000,164491.534423,-0.959214,23.104116,-120169.722107
town_flat_type_median_baseline,flat_type,4 ROOM,10817,168832.831118,144888.000000,327200.000000,204896.768579,-0.414299,23.161252,-160788.253878
town_flat_type_median_baseline,flat_type,5 ROOM,5752,184397.249725,155000.000000,342342.000000,224615.239783,-0.416336,21.767540,-180013.272326
town_flat_type_median_baseline,flat_type,EXECUTIVE,1470,222779.670136,215000.000000,342088.800000,242300.317026,-1.889239,23.292299,-222593.123197
town_flat_type_median_baseline,flat_type,MULTI-GENERATION,4,314806.000000,306056.000000,370112.000000,318707.747430,-89.919947,27.612191,-314806.000000
town_flat_type_median_baseline,price_band,$1m and above,1812,404002.894901,390000.000000,592000.000000,426124.344664,-8.673568,34.676597,-404002.894901
town_flat_type_median_baseline,price_band,$300k-$399k,1977,39423.851796,38500.000000,70000.000000,46261.267538,-2.166320,10.780254,-31390.973698
town_flat_type_median_baseline,price_band,$400k-$499k,3389,85611.205960,85000.000000,135910.400000,94940.812344,-9.117793,19.157175,-77341.214813
town_flat_type_median_baseline,price_band,$500k-$699k,10284,124248.430441,122000.000000,195000.000000,137528.772863,-5.093173,20.580234,-117403.952417
town_flat_type_median_baseline,price_band,$700k-$999k,7027,227119.940302,220000.000000,360000.000000,248514.117492,-7.797259,27.677989,-225175.029244
town_flat_type_median_baseline,price_band,Below $300k,103,38944.310680,35000.000000,69757.600000,45302.622250,-13.145214,13.829941,-14809.864078
town_flat_type_median_baseline,remaining_lease_band,50-59 years,5460,94017.311905,85000.000000,165000.000000,113200.123906,0.503478,17.039403,-84937.300183
town_flat_type_median_baseline,remaining_lease_band,60-69 years,4207,152272.673639,136000.000000,272000.000000,176841.231050,0.244142,20.661270,-151502.054671
town_flat_type_median_baseline,remaining_lease_band,70-79 years,4852,145620.548747,128000.000000,268000.000000,171169.753738,-0.164504,20.050235,-143876.647675
town_flat_type_median_baseline,remaining_lease_band,80-89 years,3796,228401.444615,194444.000000,395000.000000,261583.152636,-0.332153,29.581303,-228333.682761
town_flat_type_median_baseline,remaining_lease_band,90 years and above,4617,246632.662863,215000.000000,458212.000000,283241.514860,-0.705223,31.235584,-246544.726974
town_flat_type_median_baseline,remaining_lease_band,Below 50 years,1660,67272.933133,42000.000000,150999.200000,106068.476570,0.574646,13.788494,-26004.342771
town_flat_type_median_baseline,town,ANG MO KIO,886,177866.791061,102000.000000,480000.000000,245799.889988,0.114525,24.483732,-176719.811377
town_flat_type_median_baseline,town,BEDOK,1252,163986.837061,106550.000000,377821.200000,217571.184155,-0.013183,23.812386,-162944.070288
