station_name,exit_code,latitude,longitude,object_id,rail_mode
ADMIRALTY MRT STATION,Exit A,1.4403456612830383,103.80098952191813,21491,MRT
ADMIRALTY MRT STATION,Exit B,1.440152396746762,103.80053346325835,21673,MRT
ADMIRALTY MRT STATION,Exit C,1.4405962856579384,103.80054245816031,21131,MRT
ADMIRALTY MRT STATION,Exit D,1.4405333880722966,103.80136453445112,21674,MRT
ALJUNIED MRT STATION,Exit A,1.316238485344709,103.88249665045747,21480,MRT
ALJUNIED MRT STATION,Exit B,1.3164879303040784,103.88247288778244,21479,MRT
ANG MO KIO MRT STATION,Exit A,1.369464706505095,103.84993900074095,21692,MRT
ANG MO KIO MRT STATION,Exit B,1.3696853221997212,103.84959610065526,21691,MRT
ANG MO KIO MRT STATION,Exit C,1.3694405305965007,103.84934327370465,21675,MRT
ANG MO KIO MRT STATION,Exit D,1.3698823752681695,103.84982457247968,21260,MRT
BARTLEY MRT STATION,Exit A,1.342248749216091,103.88025589326459,21325,MRT
BARTLEY MRT STATION,Exit B,1.3435010615293341,103.8789086939245,21324,MRT
BAYFRONT MRT STATION,Exit A,1.2809674239716435,103.8587319247403,21676,MRT
BAYFRONT MRT STATION,Exit B,1.2827052247082797,103.85975918022659,21625,MRT
BAYFRONT MRT STATION,Exit C,1.2828349086889401,103.85959687218748,21624,MRT
BAYFRONT MRT STATION,Exit D,1.2828343544709762,103.85949384661112,21678,MRT
BAYFRONT MRT STATION,Exit E,1.2811046370918653,103.85844100365208,21677,MRT
BAYSHORE MRT STATION,Exit 1,1.3118987186917346,103.94126172566517,21242,MRT
BAYSHORE MRT STATION,Exit 2,1.3121838590996928,103.94067346766076,21243,MRT
BAYSHORE MRT STATION,Exit 3,1.31356798026815,103.94072100418352,21244,MRT
BAYSHORE MRT STATION,Exit 4,1.3135263973574927,103.94267591982259,21245,MRT
BAYSHORE MRT STATION,Exit 5,1.3128967114776557,103.94258441308978,21246,MRT
BEAUTY WORLD MRT STATION,Exit A,1.3416961499328006,103.7759842962261,21269,MRT
BEAUTY WORLD MRT STATION,Exit B,1.341582214549837,103.77545067944088,21626,MRT
BEAUTY WORLD MRT STATION,Exit C,1.3399818737845794,103.7757615456262,21270,MRT
BEDOK MRT STATION,Exit A,1.3235686361563497,103.92915714309531,21689,MRT
BEDOK MRT STATION,Exit B,1.3242683427611412,103.92967308999474,21690,MRT
BEDOK MRT STATION,Exit C,1.3240746458654598,103.92940427968887,21174,MRT
BEDOK NORTH MRT STATION,Exit A,1.3351262662136352,103.91804982398726,21535,MRT
BEDOK NORTH MRT STATION,Exit B,1.3341660744472075,103.91906282344867,21537,MRT
BEDOK NORTH MRT STATION,Exit B,1.3343724902032656,103.91913430266187,21542,MRT
BEDOK NORTH MRT STATION,Exit C,1.3344225765515134,103.9178105260292,21203,MRT
BEDOK RESERVOIR MRT STATION,Exit A,1.336347760899778,103.93288682250619,21349,MRT
BEDOK RESERVOIR MRT STATION,Exit B,1.3365549033286315,103.93348718985506,21196,MRT
BENCOOLEN MRT STATION,Exit A,1.2991951960301853,103.85084338471715,21198,MRT
BENCOOLEN MRT STATION,Exit B,1.2981994004556694,103.84956047759098,21370,MRT
BENCOOLEN MRT STATION,Exit C,1.2976991176544332,103.8492717038725,21197,MRT
BENDEMEER MRT STATION,Exit A,1.3138525056222503,103.86307400593707,21202,MRT
BENDEMEER MRT STATION,Exit B,1.3134807250255989,103.86321923143063,21538,MRT
BISHAN MRT STATION,Exit A,1.350579598712016,103.8483049917219,21628,MRT
BISHAN MRT STATION,Exit B,1.3510644392737419,103.84831225598012,21693,MRT
BISHAN MRT STATION,Exit C,1.3505849115398918,103.84820928129376,21695,MRT
BISHAN MRT STATION,Exit D,1.3510532199332945,103.85020108196488,21627,MRT
BISHAN MRT STATION,Exit E,1.3510348377710364,103.84843292387485,21694,MRT
BOON KENG MRT STATION,Exit A,1.3201068759913108,103.86150235706886,21629,MRT
BOON KENG MRT STATION,Exit B,1.3192351959974773,103.86190367551879,21333,MRT
BOON KENG MRT STATION,Exit C,1.317914816472307,103.86070683328751,21616,MRT
BOON LAY MRT STATION,Exit A,1.3382799880819698,103.7054089949691,21579,MRT
BOON LAY MRT STATION,Exit B,1.338420695657893,103.70614554796673,21577,MRT
BOON LAY MRT STATION,Exit C,1.3387381087333912,103.70595515261101,21578,MRT
BOON LAY MRT STATION,Exit D,1.3386295077959716,103.70565003803485,21433,MRT
BOON LAY MRT STATION,Exit E,1.338514120931197,103.70535335319977,21434,MRT
BOON LAY MRT STATION,Exit F,1.3382732219770168,103.70579503136489,21435,MRT
BOTANIC GARDENS MRT STATION,Exit A,1.3225346329493606,103.81497690573431,21619,MRT
BOTANIC GARDENS MRT STATION,Exit B,1.3226846123363898,103.81591414579154,21274,MRT
BRADDELL MRT STATION,Exit A,1.341068992069514,103.84642954072108,21698,MRT
BRADDELL MRT STATION,Exit B,1.3407443190144652,103.84640649723127,21697,MRT
BRADDELL MRT STATION,Exit C,1.3406721639431691,103.84744083059097,21696,MRT
BRAS BASAH MRT STATION,Exit A,1.296858921771042,103.85132725338609,21339,MRT
BRAS BASAH MRT STATION,Exit B,1.2960462130772386,103.85047427550748,21338,MRT
BRAS BASAH MRT STATION,Exit C,1.2970144329639453,103.85024985270456,21340,MRT
BRAS BASAH MRT STATION,Exit D,1.2975514851835557,103.8501575209801,21341,MRT
BRAS BASAH MRT STATION,Exit E,1.297535451717088,103.85042319251075,21342,MRT
BRIGHT HILL MRT STATION,Exit 1,1.3640371821656152,103.83363541399386,21297,MRT
BRIGHT HILL MRT STATION,Exit 2,1.3632827623551678,103.83351063156859,21298,MRT
