fold,training_start_month,training_end_month,test_start_month,test_end_month,training_rows,test_rows,median_quantile,median_model,calibration_start_month,calibration_end_month,calibration_rows,calibration_months,development_rows,calibration_median_log_residual,interval_center_log_offset,lower_quantile,upper_quantile,target_coverage,empirical_coverage,lower_violation_rate,upper_violation_rate,mean_interval_width,median_interval_width,median_prediction_mae
1,2017-01,2022-08,2022-09,2023-08,134496,26359,0.500000,hedonic_ridge,2022-03,2022-08,13483,6,121013,0.106640,0.006595,0.100000,0.900000,0.800000,0.605638,0.013316,0.381046,123419.630796,119317.999103,57442.696075
2,2017-01,2023-08,2023-09,2024-08,160855,27743,0.500000,hedonic_ridge,2023-03,2023-08,13071,6,147784,0.070555,0.006600,0.100000,0.900000,0.800000,0.725480,0.042317,0.232203,127182.057338,123410.013773,47901.492984
3,2017-01,2024-08,2024-09,2025-08,188598,26275,0.500000,hedonic_ridge,2024-03,2024-08,14704,6,173894,0.045871,0.006372,0.100000,0.900000,0.800000,0.747250,0.037526,0.215224,142990.634572,138920.247361,51201.697547
4,2017-01,2025-08,2025-09,2026-08,214873,24592,0.500000,hedonic_ridge,2025-03,2025-08,13487,6,201386,0.035969,0.006220,0.100000,0.900000,0.800000,0.750447,0.171763,0.077790,152722.021918,148135.731711,52844.014246
